"CMPD_CHEMBLID","MOLWEIGHT","ALOGP","PSA","NUM_RO5_VIOLATIONS","CANONICAL_SMILES","PUBLISHED_VALUE","PUBLISHED_UNITS"
"CHEMBL3699420",541.7,8.12,67.05,2,"CC(C)Oc1ccc(cc1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C#N",808.0,"nM"
"CHEMBL3695867",459.59,6.86,46.92,1,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccccn5",2.0,"nM"
"CHEMBL3639947",523.03,7.26,71.33,2,"Cc1c(C)n(Cc2ccc(cc2)c3ccccc3C(=O)O)c4ccc(cc14)C(=O)NCc5cccc(Cl)c5",2.0,"nM"
"CHEMBL1230353",516.64,7.55,71.33,2,"CC[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccccc5",3.0,"nM"
"CHEMBL3695840",502.61,6.91,71.33,2,"Cc1ccc(CNC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(cc4)c5ccccc5C(=O)O)cc1",4.0,"nM"
"CHEMBL3695761",514.71,8.76,34.03,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccc(cc5)C(C)(C)C",5.0,"nM"
"CHEMBL3695872",509.65,8.01,46.92,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccnc6ccccc56",6.0,"nM"
"CHEMBL3699357",534.63,7.61,71.33,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5cc(C)ccc5F",6.0,"nM"
"CHEMBL3695883",476.6,7.6,34.03,1,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4)c5ccccc5F",7.0,"nM"
"CHEMBL3699356",638.61,9.2,71.33,2,"C[C@H](NC(=O)c1ccc2c(c1)c(C)c(C)n2Cc3ccc(cc3)c4ccccc4C(=O)O)c5ccc(cc5C(F)(F)F)C(F)(F)F",11.0,"nM"
