"row ID","First(compound_chembl_id)","First(standard_type)","First*(standard_value)","First(standard_units)","First(target_chembl_id)","First(organism)","First(pref_name)","a_acc","a_acid","a_aro","a_base","a_count","a_don","a_donacc","a_heavy","a_hyd","a_nB","a_nBr","a_nC","a_nCl","a_nF","a_nH","a_nI","a_nN","a_nO","a_nP","a_nS","b_1rotN","b_1rotR","b_ar","b_count","b_double","b_heavy","b_rotN","b_rotR","b_single","b_triple","chiral","chiral_u","FCharge","h_logD","h_logP","h_logS","h_mr","KierFlex","lip_acc","lip_don","lip_druglike","lip_violation","mutagenic","reactive","rings","TPSA","vdw_area","vdw_vol","vsa_acc","vsa_don","vsa_hyd","Weight","SMI (Canonical)"
"Row246257_Row443125_Row246757_Row246257","CHEMBL3896393","Ki",2.02,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,68,1,9,41,26,0,0,27,1,2,27,0,8,3,0,0,8,0.17391305,16,73,4,46,8,0.17391305,53,0,2,2,0,2.1404612,3.944551,-7.1237235,14.97483,6.1672416,11,1,0,2,0,0,6,113.37,527.64233,705.09509,46.277908,0.0,386.03186,585.01501,"CN1CCC2C(CCN2C(=O)Cn2cc(N=C(O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)C1"
"Row247526_Row443126_Row248026_Row247526","CHEMBL3941620","Ki",1.61,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,68,1,9,41,26,0,0,27,1,2,27,0,8,3,0,0,8,0.17391305,16,73,4,46,8,0.17391305,53,0,2,2,0,2.0489793,3.9197681,-7.0982785,14.974833,6.1672416,11,1,0,2,0,0,6,113.37,528.98737,705.09509,46.277908,0.0,386.03186,585.01501,"CN1CC2CCN(C(=O)Cn3cc(N=C(O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2C1"
"Row247553_Row443219_Row248053_Row247553","CHEMBL3949658","Ki",0.48,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,64,2,10,40,23,0,0,25,1,2,24,0,9,3,0,0,8,0.17777778,16,69,4,45,8,0.17777778,49,0,2,2,0,2.5858591,2.8713677,-6.4175773,14.42778,5.4352412,12,3,0,2,1,0,6,139.39,505.90152,670.90808,46.277908,17.742489,334.11536,571.97601,"CN1CC2CC1CN2C(=O)Cn1cc(N=C(O)c2c(N)nn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1"
"Row247739_Row443210_Row248239_Row247739","CHEMBL3918497","Ki",0.96,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,67,3,11,41,25,0,0,26,1,2,26,0,9,3,0,0,8,0.17391305,16,72,4,46,8,0.17391305,52,0,2,2,0,1.2954915,3.3115988,-6.6558642,14.869865,5.8222051,12,3,0,2,0,0,6,136.89,525.82373,695.33728,40.595333,5.6825762,370.22336,586.00299,"CN1CC2CN(C(=O)Cn3cc(N=C(O)c4cnn5ccc(=N)[nH]c45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2C1"
"Row247740_Row443211_Row248240_Row247740","CHEMBL3979772","Ki",119.51,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,68,1,9,41,26,0,0,27,1,2,27,0,8,3,0,0,8,0.17391305,16,73,4,46,8,0.17391305,53,0,2,2,0,2.4292357,4.0379109,-7.1754913,14.974828,5.9871855,11,1,0,2,0,0,6,113.37,528.98737,705.09509,46.277908,0.0,386.03186,585.01501,"Cc1cnc2c(C(O)=Nc3cn(CC(=O)N4CC5CN(C)CC5C4)nc3-c3cc(Cl)ccc3OC(F)F)cnn2c1"
"Row247741_Row443213_Row248241_Row247741","CHEMBL3974166","Ki",0.81,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,65,1,9,40,25,0,0,26,1,2,25,0,8,3,0,0,8,0.17777778,16,70,4,45,8,0.17777778,50,0,2,2,0,2.1883342,3.7970762,-6.9302683,14.520442,5.7644482,11,1,0,2,0,0,6,113.37,511.75531,680.66595,46.277908,0.0,370.22336,570.98798,"CN1CC2CN(C(=O)Cn3cc(N=C(O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2C1"
"Row247747_Row439918_Row248247_Row247747","CHEMBL3890152","Ki",2.38,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,61,1,9,39,25,0,0,25,1,2,22,0,7,3,0,1,7,0.15909091,16,66,4,44,7,0.15909091,46,0,2,2,0,2.7677076,4.5935669,-7.7214952,14.417456,6.0291862,10,1,1,1,0,0,6,108.44,495.69473,661.52881,42.539444,0.0,360.03665,574.01196,"CN1CC2CN(C(=O)c3nc(-c4cc(Cl)ccc4OC(F)F)c(N=C(O)c4cnn5cccnc45)s3)CC2C1"
"Row247754_Row443209_Row248254_Row247754","CHEMBL3905567","Ki",0.56,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,22,0,75,1,9,46,31,0,0,32,1,2,29,0,8,3,0,0,9,0.17307693,22,81,4,52,9,0.17307693,55,0,2,2,0,4.0246744,5.3950219,-8.6130543,16.97896,6.2693682,11,1,0,3,0,0,7,113.37,592.29993,795.63983,46.277908,0.0,449.26584,647.086,"CN1CC2CN(C(=O)Cn3cc(N=C(O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2(c2ccccc2)C1"
"Row247756_Row439922_Row248256_Row247756","CHEMBL3914707","Ki",1.73,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,62,1,9,38,26,0,0,25,1,2,24,0,7,2,0,1,7,0.1627907,16,67,3,43,7,0.1627907,48,0,2,2,0,1.7909778,4.0967793,-7.2711644,14.240987,6.2977657,9,1,0,2,0,0,6,91.370003,490.90137,660.34998,28.972525,0.0,380.33615,560.02899,"CN1CC2CN(Cc3nc(-c4cc(Cl)ccc4OC(F)F)c(N=C(O)c4cnn5cccnc45)s3)CC2C1"
"Row247829_Row405692_Row248329_Row247829","CHEMBL1933344","IC50",450.0,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",6,0,21,0,55,4,10,31,21,0,0,24,0,0,24,0,6,1,0,0,0,0.0,22,59,1,35,0,0.0,36,0,0,0,0,1.2111108,3.2696826,-5.6718874,12.181877,3.9621723,7,2,1,0,0,0,5,78.959999,407.81009,572.99652,8.1863317,5.6825762,303.42465,412.49698,"CN1CC=CCCOc2cccc(c2)-c2nc(nc3[nH]cnc23)Nc2cccc(c2)C1"
"Row249655_Row443216_Row250155_Row249655","CHEMBL3950200","Ki",1.03,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",8,0,16,0,65,1,9,40,25,0,0,26,1,2,25,0,8,3,0,0,8,0.17777778,16,70,4,45,8,0.17777778,50,0,2,2,0,3.2674224,3.7139187,-6.9110494,14.520434,5.7644482,11,1,0,2,0,0,6,113.37,509.06522,680.66595,46.277908,0.0,370.22336,570.98798,"CN1C2CCC1CN(C(=O)Cn1cc(N=C(O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n1)C2"
"Row250329_Row443278_Row250829_Row250329","CHEMBL3900499","Ki",0.2,"nM","CHEMBL2971","Homo sapiens","Tyrosine-protein kinase JAK2",9,0,16,0,72,3,12,42,25,0,0,27,1,2,30,0,9,3,0,0,10,0.2173913,16,76,4,46,10,0.2173913,56,0,0,0,0,1.8156955,3.0281813,-6.485085,15.493668,7.5198646,12,4,0,3,1,0,5,151.67,560.3938,732.55493,38.393562,17.742489,374.84131,602.04596,"CN=C(O)CCCN1CCC(n2cc(N=C(O)c3c(N)nn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1"
